Water,Protein,Total lipid (fat),"Carbohydrate, by difference","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Copper, Cu","Manganese, Mn","Selenium, Se","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B-6,"Folate, total",Vitamin B-12,"Vitamin A, RAE",Cholesterol,"Fatty acids, total saturated","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated"
89.63,2.92,1.49,4.42,254.0,1.6,33.0,55.0,348.0,53.0,0.39,0.053,0.92,0.9,93.4,0.113,0.347,1.18,0.37,0.147,62.0,0.0,241.0,0.0,0.178,0.104,0.673
91.0,1.7,0.1,6.2,24.0,0.4,19.0,46.0,350.0,20.0,0.03,0.129,0.139,0.7,62.0,0.05,0.02,0.4,0.165,0.15,16.0,0.0,2.0,0.0,0.013,0.007,0.048
83.0,1.5,0.3,14.15,59.0,2.1,28.0,35.0,180.0,20.0,0.12,0.12,0.481,1.0,12.0,0.06,0.03,0.4,0.14,0.233,64.0,0.0,83.0,0.0,0.04,0.004,0.166
8.26,24.63,1.06,63.35,35.0,6.51,47.0,281.0,677.0,6.0,3.27,0.754,1.393,0.1,4.5,0.873,0.211,2.605,2.14,0.54,479.0,0.0,2.0,0.0,0.154,0.193,0.526
67.34,8.96,0.55,22.14,25.0,3.21,37.0,173.0,322.0,11.0,1.51,0.352,0.506,0.6,16.5,0.228,0.128,1.128,0.578,0.19,100.0,0.0,2.0,0.0,0.057,0.104,0.219
70.24,6.84,0.86,20.17,34.0,3.14,58.0,136.0,467.0,8.0,0.78,0.318,1.215,1.8,23.4,0.217,0.103,1.474,0.247,0.204,34.0,0.0,10.0,0.0,0.198,0.05,0.419
10.17,21.46,0.69,63.38,81.0,7.51,224.0,385.0,1724.0,18.0,2.83,0.74,1.672,7.2,0.0,0.507,0.202,1.537,1.355,0.512,395.0,0.0,0.0,0.0,0.161,0.062,0.309
12.07,20.62,0.93,62.83,81.0,6.19,188.0,370.0,1403.0,13.0,2.6,0.665,1.686,7.0,0.0,0.574,0.218,1.712,1.265,0.327,400.0,0.0,0.0,0.0,0.219,0.084,0.42
79.1,2.6,0.1,17.23,45.0,1.16,23.0,100.0,556.0,40.0,0.39,0.257,0.261,0.7,44.0,0.16,0.22,0.4,0.377,0.258,13.0,0.0,0.0,0.0,0.03,0.02,0.02
10.44,36.17,9.74,40.37,176.0,4.36,198.0,440.0,1013.0,15.0,4.75,1.022,2.382,8.2,4.8,0.64,0.22,2.19,0.75,0.357,355.0,0.0,0.0,0.0,1.156,3.94,2.439
8.67,11.02,4.22,72.85,8.0,3.01,114.0,285.0,195.0,5.0,1.68,0.75,1.632,2.7,0.0,0.421,0.29,4.72,0.848,0.384,85.0,0.0,0.0,0.0,0.723,0.773,2.134
9.68,22.94,1.61,61.52,150.0,10.85,381.0,489.0,1191.0,30.0,1.92,0.688,1.82,8.2,4.0,0.562,0.091,2.8,1.535,0.366,649.0,0.0,2.0,0.0,0.364,0.129,0.75
81.44,1.34,0.1,16.3,26.0,0.44,12.0,34.0,418.0,13.0,0.27,0.11,0.242,0.7,2.6,0.102,0.019,0.481,0.433,0.179,14.0,0.0,0.0,0.0,0.022,0.004,0.045
9.05,23.86,1.15,62.62,132.0,6.74,189.0,367.0,1246.0,15.0,2.68,0.941,1.035,8.2,4.8,0.621,0.233,2.251,1.91,0.382,625.0,0.0,6.0,0.0,0.348,0.161,0.384
90.4,3.04,0.18,5.94,13.0,0.91,21.0,54.0,149.0,6.0,0.41,0.164,0.188,0.6,13.2,0.084,0.124,0.749,0.38,0.088,61.0,0.0,1.0,0.0,0.046,0.022,0.058
10.8,25.21,1.64,58.99,138.0,7.57,267.0,379.0,983.0,38.0,3.35,0.981,1.527,8.2,0.0,0.273,0.254,1.447,0.906,0.281,216.0,0.0,1.0,0.0,0.114,0.085,1.071
89.74,2.24,0.49,6.79,2.0,0.41,20.0,112.0,304.0,9.0,1.03,0.142,0.23,5.7,0.0,0.015,0.217,3.877,1.5,0.293,13.0,0.0,0.0,0.0,0.0,0.0,0.0
92.45,3.09,0.34,3.26,3.0,0.5,9.0,86.0,318.0,5.0,0.52,0.318,0.047,9.3,2.1,0.081,0.402,3.607,1.497,0.104,17.0,0.04,0.0,0.0,0.05,0.0,0.16
90.7,2.86,0.42,4.67,115.0,1.64,32.0,58.0,384.0,20.0,0.25,0.165,0.0,0.9,70.0,0.08,0.11,0.8,0.21,0.18,12.0,0.0,151.0,0.0,0.01,0.092,0.038
92.2,2.2,0.3,3.9,210.0,1.5,11.0,28.0,449.0,21.0,0.17,0.075,0.407,0.8,130.0,0.068,0.093,0.678,0.178,0.153,159.0,0.0,495.0,0.0,0.015,0.138,0.057
94.0,1.5,0.2,2.5,58.0,0.8,39.0,28.0,130.0,130.0,0.38,0.093,0.639,0.7,30.0,0.04,0.13,0.5,0.312,0.304,15.0,0.0,0.0,0.0,0.032,0.005,0.084
6.88,14.38,0.71,74.62,35.0,2.7,95.0,254.0,252.0,792.0,1.71,0.23,1.291,0.0,0.0,0.48,0.13,3.21,0.954,0.24,60.0,0.0,0.0,0.0,0.136,0.185,0.22
9.21,11.35,0.81,74.1,23.0,1.32,28.0,80.0,164.0,1840.0,0.45,0.144,0.479,8.3,0.0,0.101,0.026,0.875,0.491,0.05,14.0,0.0,0.0,0.0,0.115,0.095,0.33
94.12,1.32,0.09,3.33,164.0,0.59,52.0,16.0,257.0,21.0,0.25,0.052,0.457,0.7,9.3,0.012,0.041,0.41,0.167,0.07,3.0,0.0,23.0,0.0,0.016,0.018,0.05
43.95,4.2,1.11,49.07,18.0,1.41,84.0,96.0,447.0,3.0,0.87,0.363,1.601,0.0,36.0,0.16,0.18,0.8,0.555,0.41,68.0,0.0,10.0,0.0,0.164,0.581,0.288
52.0,1.63,1.25,44.17,19.0,0.94,30.0,38.0,484.0,2.0,0.49,0.418,0.336,0.0,40.2,0.144,0.016,1.102,0.476,0.352,58.0,0.0,1.0,0.0,0.235,0.43,0.493
61.41,2.25,0.53,34.91,31.0,1.45,49.0,72.0,329.0,14.0,1.1,0.562,1.591,0.0,26.3,0.344,0.163,1.5,0.206,0.283,47.0,0.0,2.0,0.0,0.078,0.278,0.138
6.55,17.3,7.03,66.22,58.0,5.41,235.0,734.0,566.0,4.0,3.11,0.403,5.63,45.2,0.0,1.17,0.22,0.934,1.494,0.165,52.0,0.0,0.0,0.0,1.328,2.376,2.766
89.58,1.93,0.19,7.45,82.0,0.62,57.0,61.0,299.0,7.0,0.58,0.109,0.788,0.7,23.0,0.2,0.06,1.0,0.245,0.215,60.0,0.0,36.0,0.0,0.026,0.017,0.027
89.11,1.1,0.1,9.34,23.0,0.21,10.0,29.0,146.0,4.0,0.17,0.039,0.129,0.5,7.4,0.046,0.027,0.116,0.123,0.12,19.0,0.0,0.0,0.0,0.042,0.013,0.017
79.53,1.2,0.3,17.99,36.0,0.59,29.0,71.0,375.0,10.0,0.59,0.12,0.56,1.8,17.0,0.09,0.05,0.7,0.6,0.09,67.0,0.0,0.0,0.0,0.05,0.112,0.047
9.9,13.04,1.51,74.67,21.0,3.3,53.0,189.0,223.0,6.0,1.41,0.289,0.917,63.2,0.0,0.891,0.4,7.177,0.431,0.142,237.0,0.0,0.0,0.0,0.277,0.171,0.564
9.9,13.04,1.51,74.67,21.0,1.3,53.0,189.0,223.0,6.0,1.41,0.289,0.917,63.2,0.0,0.09,0.06,1.7,0.431,0.142,18.0,0.0,0.0,0.0,0.277,0.171,0.564
31.0,11.31,2.3,54.73,15.0,3.35,46.0,163.0,179.0,26.0,1.22,0.228,0.547,0.0,0.0,0.705,0.439,3.35,0.535,0.093,176.0,0.31,14.0,73.0,0.328,0.271,0.942
30.1,11.26,2.1,55.72,43.0,3.3,63.0,148.0,272.0,27.0,1.4,0.197,0.781,0.0,0.0,0.609,0.398,3.46,0.688,0.315,177.0,0.31,25.0,73.0,0.483,0.659,0.467
10.0,7.46,2.08,79.26,4.0,0.93,119.0,253.0,294.0,3.0,1.79,0.202,0.483,7.9,0.0,0.231,0.087,2.43,0.484,0.206,25.0,0.0,9.0,0.0,0.29,0.543,0.924
8.85,13.51,2.68,73.1,27.0,3.33,104.0,287.0,366.0,11.0,2.4,0.426,2.242,69.4,0.0,0.371,0.193,7.948,0.8,0.28,59.0,0.0,0.0,0.0,0.351,0.281,0.928
88.89,2.8,0.2,7.55,43.0,2.08,24.0,53.0,200.0,4.0,0.27,0.079,0.244,0.7,60.0,0.15,0.08,0.6,0.75,0.16,42.0,0.0,54.0,0.0,0.039,0.021,0.089
78.86,5.42,0.4,14.45,25.0,1.47,33.0,108.0,244.0,5.0,1.24,0.176,0.41,1.8,40.0,0.266,0.132,2.09,0.104,0.169,65.0,0.0,38.0,0.0,0.071,0.035,0.187
62.27,8.8,0.68,27.11,36.0,2.26,56.0,165.0,381.0,20.0,1.05,0.272,0.438,0.6,10.4,0.225,0.155,3.088,1.029,0.265,144.0,0.0,0.0,0.0,0.124,0.061,0.326
8.69,23.12,3.89,61.63,46.0,4.73,63.0,334.0,852.0,5.0,3.49,0.809,1.19,10.7,1.8,0.719,0.244,3.608,0.962,0.14,15.0,0.0,7.0,0.0,0.408,0.615,1.022
93.89,0.86,0.17,4.64,10.0,0.34,10.0,20.0,175.0,3.0,0.13,0.066,0.122,0.0,80.4,0.057,0.028,0.48,0.099,0.224,10.0,0.0,18.0,0.0,0.058,0.008,0.062
92.21,0.99,0.3,6.03,7.0,0.43,12.0,26.0,211.0,4.0,0.25,0.017,0.112,0.1,127.7,0.054,0.085,0.979,0.317,0.291,46.0,0.0,157.0,0.0,0.059,0.007,0.156
