"Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,"Vitamin A, RAE"
9.0,0.17,10.0,12.0,205.0,20.0,0.07,4.5,0.02,0.02,0.17,0.058,0.0
15.0,0.35,17.0,38.0,262.0,2.0,0.29,17.0,0.048,0.142,0.487,0.218,10.0
21.0,0.44,20.0,32.0,222.0,2.0,0.29,19.3,0.051,0.041,0.448,0.104,8.0
19.0,0.4,23.0,36.0,182.0,1.0,0.29,18.0,0.07,0.03,0.6,0.109,11.0
33.0,0.7,32.0,36.0,347.0,3.0,0.13,11.0,0.14,0.01,0.7,0.154,18.0
28.0,0.58,14.0,23.0,350.0,4.0,0.21,12.3,0.03,0.062,0.5,0.156,68.0
48.0,0.7,34.0,33.0,352.0,4.0,0.15,21.0,0.1,0.02,1.2,0.154,532.0
14.0,0.4,19.0,21.0,320.0,7.0,0.13,11.0,0.07,0.04,0.5,0.154,68.0
23.0,0.31,12.0,12.0,108.0,17.0,0.19,2.1,0.037,0.018,0.95,0.101,6.0
18.0,1.83,48.0,113.0,369.0,4.0,0.61,15.1,0.208,0.082,1.587,0.13,15.0
78.0,0.97,70.0,81.0,508.0,6.0,0.0,11.0,0.156,0.345,1.13,0.19,189.0
30.0,0.61,25.0,47.0,337.0,55.0,0.3,2.4,0.078,0.061,0.557,0.209,709.0
107.0,2.25,45.0,60.0,648.0,3.0,0.41,52.0,0.209,0.456,1.513,0.146,241.0
12.0,0.6,8.0,28.0,332.0,1.0,0.51,21.0,0.04,0.05,0.8,0.111,3.0
43.0,0.55,33.0,84.0,591.0,11.0,0.23,4.5,0.095,0.025,0.6,0.283,4.0
129.0,1.3,47.0,45.0,606.0,50.0,0.09,96.0,0.062,0.244,0.995,0.116,102.0
180.0,7.63,184.0,429.0,427.0,12.0,3.63,0.0,0.39,0.27,3.363,0.482,0.0
111.0,2.7,81.0,266.0,412.0,9.0,1.14,0.0,0.078,0.358,2.64,0.215,0.0
10.0,0.27,11.0,24.0,237.0,5.0,0.17,13.7,0.037,0.019,0.594,0.08,42.0
190.0,1.1,31.0,42.0,296.0,40.0,0.19,60.0,0.07,0.1,0.6,0.263,579.0
30.0,0.3,11.0,27.0,191.0,67.0,0.27,21.0,0.04,0.03,0.4,0.09,0.0
77.0,1.67,71.0,39.0,312.0,113.0,0.18,55.0,0.03,0.1,0.9,0.096,315.0
19.0,0.4,10.0,19.0,6.0,111.0,0.61,13.0,0.04,0.11,0.4,0.035,0.0
22.0,3.77,130.0,364.0,403.0,5.0,3.68,0.0,0.566,0.184,6.375,0.259,1.0
21.0,1.96,177.0,433.0,427.0,7.0,5.96,0.0,0.115,0.262,6.733,0.391,1.0
84.0,1.5,34.0,37.0,223.0,4.0,0.39,18.3,0.14,0.1,0.9,0.113,0.0
440.0,13.44,179.0,451.0,977.0,38.0,4.48,0.0,1.03,0.45,3.09,0.175,0.0
17.0,0.54,21.0,55.0,816.0,9.0,0.24,17.1,0.112,0.032,0.552,0.293,7.0
12.0,0.6,12.0,18.0,150.0,4.0,0.16,20.2,0.02,0.029,0.2,0.042,1.0
50.0,0.47,44.0,59.0,240.0,4.0,0.37,18.8,0.107,0.11,0.41,0.024,43.0
138.0,8.61,338.0,559.0,1157.0,17.0,3.5,1.6,0.887,0.235,2.158,0.371,3.0
