"Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,"Vitamin A, RAE"
37.0,0.58,29.0,69.0,367.0,10.0,0.26,13.0,0.083,0.051,0.724,0.093,0.0
7.0,1.28,18.0,58.0,44.0,1.0,0.51,0.0,0.274,0.136,1.689,0.049,0.0
7.0,0.5,18.0,58.0,44.0,1.0,0.51,0.0,0.02,0.02,0.4,0.049,0.0
6.0,1.14,18.0,63.0,24.0,6.0,0.56,0.0,0.209,0.15,0.992,0.034,6.0
18.0,1.11,24.0,57.0,37.0,6.0,0.63,0.0,0.178,0.134,1.011,0.113,10.0
1.0,0.25,36.0,76.0,31.0,0.0,0.63,0.0,0.053,0.023,0.556,0.058,3.0
12.0,1.65,45.0,110.0,77.0,6.0,1.12,0.0,0.157,0.103,2.887,0.097,0.0
42.0,1.97,26.0,55.0,240.0,4.0,0.37,47.9,0.128,0.076,0.539,0.144,52.0
27.0,1.54,39.0,117.0,271.0,3.0,1.19,14.2,0.259,0.149,2.021,0.216,40.0
26.0,1.67,41.0,24.0,268.0,3.0,0.78,6.6,0.216,0.285,1.072,0.128,5.0
14.0,1.29,36.0,99.0,362.0,2.0,1.0,0.4,0.19,0.056,0.89,0.048,0.0
9.0,0.46,10.0,18.0,166.0,2.0,0.12,74.4,0.059,0.03,0.477,0.233,23.0
9.0,0.46,10.0,18.0,166.0,2.0,0.12,171.0,0.059,0.03,0.477,0.233,147.0
43.0,1.11,46.0,119.0,384.0,5.0,0.9,0.0,0.146,0.059,0.781,0.05,0.0
41.0,1.57,40.0,118.0,456.0,5.0,0.82,28.1,0.35,0.166,2.153,0.053,2.0
3.0,0.3,28.0,24.0,289.0,2.0,0.14,9.1,0.05,0.065,0.39,0.22,0.0
53.0,1.2,14.0,33.0,184.0,18.0,0.19,82.0,0.07,0.25,1.1,0.111,435.0
