"Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,"Vitamin A, RAE"
6.0,3.82,24.0,221.0,360.0,53.0,2.9,1.0,0.13,0.1,4.6,0.38,0.0
5.0,3.21,23.0,158.0,317.0,65.0,2.8,4.0,0.06,0.27,5.0,0.0,0.0
25.0,0.0,22.0,220.0,276.0,82.0,0.0,5.0,0.09,0.52,6.2,0.0,0.0
13.0,1.57,19.0,213.0,330.0,41.0,1.57,0.0,0.1,0.15,7.27,0.5,0.0
2.0,4.7,24.0,172.0,304.0,103.0,0.0,0.0,0.07,0.21,4.0,0.0,0.0
12.0,2.5,18.0,234.0,308.0,73.0,1.72,4.2,0.085,0.245,3.608,0.39,17.0
13.0,2.57,24.0,312.0,420.0,87.0,2.34,7.2,0.129,0.377,4.278,0.64,12.0
3.0,1.76,21.0,161.0,218.0,80.0,2.83,0.0,0.145,0.364,6.363,0.397,2.0
2.0,1.88,24.0,174.0,231.0,83.0,3.1,0.0,0.16,0.4,6.88,0.426,3.0
10.0,1.81,23.0,199.0,318.0,61.0,3.32,0.0,0.145,0.298,5.167,0.375,0.0
9.0,1.94,25.0,214.0,342.0,64.0,3.58,0.0,0.155,0.32,5.56,0.406,0.0
9.0,1.48,20.0,176.0,301.0,75.0,4.04,0.0,0.142,0.292,5.06,0.367,0.0
7.0,1.61,22.0,191.0,329.0,81.0,4.5,0.0,0.155,0.32,5.56,0.406,0.0
11.0,1.75,22.0,192.0,308.0,59.0,3.21,0.0,0.14,0.288,4.996,0.362,0.0
9.0,1.94,25.0,214.0,342.0,64.0,3.58,0.0,0.155,0.32,5.56,0.406,0.0
12.0,1.5,20.0,167.0,279.0,70.0,2.95,0.0,0.133,0.272,4.695,0.339,0.0
10.0,1.75,23.0,195.0,328.0,80.0,3.5,0.0,0.155,0.32,5.56,0.406,0.0
3.0,2.09,21.0,156.0,225.0,75.0,2.72,0.0,0.132,0.37,6.251,0.426,2.0
3.0,2.25,23.0,167.0,238.0,77.0,2.94,0.0,0.142,0.4,6.65,0.452,3.0
10.0,1.48,20.0,173.0,295.0,73.0,3.75,0.0,0.14,0.287,4.964,0.359,0.0
8.0,1.64,23.0,192.0,329.0,81.0,4.25,0.0,0.155,0.32,5.56,0.406,0.0
15.0,1.66,22.0,185.0,302.0,70.0,2.5,0.0,0.169,0.29,6.652,0.445,0.0
15.0,1.79,24.0,199.0,327.0,75.0,2.69,0.0,0.183,0.313,7.283,0.488,0.0
2.0,2.25,26.0,208.0,308.0,73.0,2.3,0.0,0.145,0.376,8.394,0.55,1.0
2.0,2.27,26.0,210.0,311.0,73.0,2.32,0.0,0.147,0.38,8.49,0.556,2.0
16.0,1.55,21.0,157.0,222.0,59.0,3.41,0.0,0.11,0.21,5.96,0.13,0.0
8.0,1.71,24.0,178.0,261.0,57.0,3.5,0.0,0.13,0.23,6.22,0.15,0.0
7.0,1.73,25.0,182.0,267.0,58.0,3.58,0.0,0.13,0.24,6.21,0.16,0.0
6.0,1.82,27.0,195.0,290.0,61.0,3.89,0.0,0.14,0.25,6.19,0.17,0.0
10.0,1.61,22.0,159.0,231.0,56.0,3.08,0.0,0.12,0.23,6.34,0.14,0.0
10.0,1.63,23.0,161.0,235.0,56.0,3.13,0.0,0.13,0.23,6.34,0.14,0.0
7.0,1.83,27.0,189.0,284.0,64.0,3.77,0.0,0.14,0.25,6.33,0.17,0.0
9.0,1.66,23.0,170.0,249.0,56.0,3.32,0.0,0.13,0.23,6.26,0.15,0.0
8.0,1.7,24.0,175.0,258.0,57.0,3.43,0.0,0.13,0.24,6.25,0.15,0.0
6.0,1.82,27.0,193.0,289.0,62.0,3.84,0.0,0.14,0.25,6.23,0.17,0.0
15.0,1.61,21.0,152.0,214.0,56.0,2.53,0.0,0.11,0.21,6.47,0.13,0.0
15.0,1.61,21.0,152.0,214.0,56.0,2.53,0.0,0.11,0.21,6.47,0.13,0.0
14.0,1.66,22.0,159.0,226.0,59.0,2.65,0.0,0.12,0.21,6.48,0.14,0.0
14.0,1.66,22.0,159.0,226.0,59.0,2.65,0.0,0.12,0.21,6.48,0.14,0.0
12.0,1.91,27.0,190.0,276.0,68.0,3.19,0.0,0.13,0.23,6.51,0.17,0.0
12.0,1.91,27.0,190.0,276.0,68.0,3.19,0.0,0.13,0.23,6.51,0.17,0.0
4.0,1.52,24.0,201.0,346.0,62.0,2.89,0.0,0.154,0.128,5.256,0.15,5.0
